ProbeSetID,GeneSymbol,Zscore,EnrichedIn
202871_at,TRAF4,12.151,LZ
201516_at,SRM,10.758,LZ
201422_at,IFI30,10.753,LZ
202643_s_at,TNFAIP3,8.998,LZ
205681_at,BCL2A1,8.959,LZ
204440_at,CD83,8.866,LZ
207861_at,CCL22,8.388,LZ
223027_at,SNX9,8.026,LZ
227677_at,JAK3,7.666,LZ
202374_s_at,RAB3GAP2,7.616,LZ
212018_s_at,RSL1D1,7.384,LZ
219424_at,EBI3,7.255,LZ
224558_s_at,MALAT1,7.237,LZ
221649_s_at,PPAN,7.032,LZ
224654_at,DDX21,6.981,LZ
201502_s_at,NFKBIA,6.917,LZ
206115_at,EGR3,6.878,LZ
230499_at,---,6.877,LZ
201818_at,LPCAT1,6.858,LZ
230345_at,SEMA7A,6.741,LZ
242406_at,---,6.694,LZ
205965_at,BATF,6.591,LZ
235542_at,TET3,6.416,LZ
209166_s_at,MAN2B1,6.335,LZ
217523_at,CD44,6.187,LZ
218307_at,RSAD1,6.03,LZ
1557910_at,HSP90AB1,5.986,LZ
205249_at,EGR2,5.946,LZ
229437_at,MIR155HG,5.888,LZ
204175_at,ZNF593,5.864,LZ
202307_s_at,TAP1,5.825,LZ
211936_at,HSPA5,5.801,LZ
41386_i_at,KDM6B,5.775,LZ
205306_x_at,KMO,5.692,LZ
220688_s_at,MRTO4,5.692,LZ
224701_at,PARP14,5.687,LZ
204794_at,DUSP2,5.681,LZ
211724_x_at,MIOS,5.566,LZ
201900_s_at,AKR1A1,5.456,LZ
201577_at,NME1,5.441,LZ
211138_s_at,KMO,5.423,LZ
218984_at,PUS7,5.41,LZ
208152_s_at,DDX21,5.384,LZ
218826_at,SLC35F2,5.354,LZ
202644_s_at,TNFAIP3,5.262,LZ
202373_s_at,RAB3GAP2,5.157,LZ
219037_at,RRP15,5.057,LZ
228964_at,PRDM1,5.023,LZ
235800_at,---,4.997,LZ
244780_at,SGPP2,4.906,LZ
210538_s_at,BIRC3,4.841,LZ
217599_s_at,MDFIC,4.825,LZ
212953_x_at,CALR,4.81,LZ
217106_x_at,DIMT1L,4.806,LZ
233130_at,---,4.8,LZ
206445_s_at,PRMT1,4.733,LZ
226560_at,---,4.73,LZ
214359_s_at,HSP90AB1,4.694,LZ
204027_s_at,METTL1,4.609,LZ
216640_s_at,PDIA6,4.604,LZ
218109_s_at,MFSD1,4.568,LZ
230180_at,---,4.553,LZ
219559_at,SLC17A9,4.506,LZ
202431_s_at,MYC,4.486,LZ
209317_at,POLR1C,4.451,LZ
222281_s_at,---,4.363,LZ
204084_s_at,CLN5,4.342,LZ
203701_s_at,TRMT1,4.341,LZ
202372_at,RAB3GAP2,4.292,LZ
202149_at,NEDD9,4.273,LZ
202205_at,VASP,4.271,LZ
222875_at,DHX33,4.209,LZ
225080_at,MYO1C,4.197,LZ
240234_at,---,4.15,LZ
220140_s_at,SNX11,4.13,LZ
207002_s_at,PLAGL1,4.122,LZ
217504_at,ABCA6,4.115,LZ
229470_at,---,4.083,LZ
227517_s_at,GAS5,4.082,LZ
225866_at,RPF2,4.079,LZ
232581_x_at,HIVEP3,4.045,LZ
242473_at,TRAF4,4.036,LZ
208661_s_at,TTC3,4.035,LZ
206181_at,SLAMF1,4.032,LZ
203927_at,NFKBIE,4.024,LZ
235688_s_at,TRAF4,3.982,LZ
203562_at,FEZ1,3.98,LZ
217850_at,GNL3,3.978,LZ
203290_at,HLA-DQA1,3.958,LZ
206860_s_at,MIOS,3.945,LZ
201079_at,SYNGR2,3.924,LZ
206687_s_at,PTPN6,3.918,LZ
235122_at,HIVEP3,3.9,LZ
228303_at,GALNT6,3.861,LZ
243851_at,RAB3GAP2,3.861,LZ
220358_at,BATF3,3.86,LZ
218886_at,PAK1IP1,3.85,LZ
231647_s_at,FCRL5,3.832,LZ
241937_s_at,WDR4,3.832,LZ
205668_at,LY75,3.83,LZ
225520_at,MTHFD1L,3.814,LZ
209239_at,NFKB1,3.806,LZ
204014_at,DUSP4,3.752,LZ
207535_s_at,NFKB2,3.752,LZ
